2023-10-24 11:00:58,343 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Configure stats pid to 94918
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Loading settings from /Users/oyvind/.config/wandb/settings
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Loading settings from /Users/oyvind/code/skole/master/rl-test/wandb/settings
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'mountain_car.py', 'program_abspath': '/Users/oyvind/code/skole/master/rl-test/mountain_car.py', 'program': '/Users/oyvind/code/skole/master/rl-test/mountain_car.py'}
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_init.py:_log_setup():528] Logging user logs to /Users/oyvind/code/skole/master/rl-test/wandb/run-20231024_110058-5y91lht0/logs/debug.log
2023-10-24 11:00:58,344 INFO    MainThread:94918 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/oyvind/code/skole/master/rl-test/wandb/run-20231024_110058-5y91lht0/logs/debug-internal.log
2023-10-24 11:00:58,345 INFO    MainThread:94918 [wandb_init.py:init():568] calling init triggers
2023-10-24 11:00:58,345 INFO    MainThread:94918 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-10-24 11:00:58,345 INFO    MainThread:94918 [wandb_init.py:init():618] starting backend
2023-10-24 11:00:58,345 INFO    MainThread:94918 [wandb_init.py:init():622] setting up manager
2023-10-24 11:00:58,346 INFO    MainThread:94918 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-24 11:00:58,348 INFO    MainThread:94918 [wandb_init.py:init():628] backend started and connected
2023-10-24 11:00:58,351 INFO    MainThread:94918 [wandb_init.py:init():720] updated telemetry
2023-10-24 11:00:58,387 INFO    MainThread:94918 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-24 11:00:58,881 INFO    MainThread:94918 [wandb_run.py:_on_init():2220] communicating current version
2023-10-24 11:00:58,997 INFO    MainThread:94918 [wandb_run.py:_on_init():2229] got version response 
2023-10-24 11:00:58,997 INFO    MainThread:94918 [wandb_init.py:init():804] starting run threads in backend
2023-10-24 11:00:59,226 INFO    MainThread:94918 [wandb_run.py:_console_start():2199] atexit reg
2023-10-24 11:00:59,226 INFO    MainThread:94918 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-24 11:00:59,226 INFO    MainThread:94918 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-24 11:00:59,226 INFO    MainThread:94918 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-24 11:00:59,227 INFO    MainThread:94918 [wandb_init.py:init():845] run started, returning control to user process
2023-10-24 11:00:59,227 INFO    MainThread:94918 [wandb_run.py:_tensorboard_callback():1470] tensorboard callback: runs/ppo-mountain-car-continuous, True
2023-10-24 11:04:18,660 WARNING MsgRouterThr:94918 [router.py:message_loop():77] message_loop has been closed
